Firm,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
COH,02/28/20,207.59,4519628,-33.48,-13.8880823,-13.88808288,211.15244,18.9055299,204.99,254.4,203.05,16.89942561
COH,01/31/20,241.07,2729967,16.34,7.270947359,7.270956788,245.20699,38.08254871,239,242.76,219.8,35.7529001
COH,12/31/19,224.73,3525074,-9.26,-3.957434078,-3.957446362,228.58656,28.7231445,230,238.54,224.73,26.55141345
COH,11/29/19,233.99,3063570,22.45,10.61265009,10.61266334,238.0055,34.02719901,235,236.23,210.405,31.76596464
COH,10/31/19,211.54,3430166,3.39,1.628633197,1.628635433,215.17021,21.16804257,211.79,214.94,199.9,19.1237752
COH,09/30/19,208.15,3542158,-9.85,-4.518348624,-3.71848541,211.72203,19.22628111,207.94,219,203.94,17.21477644
COH,08/30/19,218,4591683,-2.35,-1.066485137,-1.066489488,219.89894,23.83091564,215.89,224.545,199.57,22.76157225
COH,07/31/19,220.35,3184966,13.51,6.531618642,6.531627519,222.26942,25.1657957,223.5,226.71,206.36,24.08491947
COH,06/28/19,206.84,3126275,6.71,3.352820667,3.352811063,208.64172,17.49167699,205.1,210,194.03,16.47708075
COH,05/31/19,200.13,4015661,12.8,6.832861795,6.832862877,201.87329,13.68019484,196.73,203.8,187.5,12.69850208
COH,04/30/19,187.33,4353960,14.05,8.108264081,8.108266291,188.96179,6.409387318,184.99,188.3,164,5.490483163
COH,03/29/19,173.28,5460219,2.78,1.630498534,2.515777126,174.7894,-1.57146075,174.77,182.68,171,-2.421443856
COH,02/28/19,170.5,4480996,-22.92,-11.84986041,-11.84986041,170.5,-3.986935466,169.51,200.82,168.23,-3.986935466
COH,01/31/19,193.42,2768713,19.85,11.43630812,11.43630812,193.42,8.919923415,193.8,196.74,172.17,8.919923415
COH,12/31/18,173.57,3091889,4.29,2.53426276,2.53426276,173.57,-2.258137178,176.32,176.5,164.56,-2.258137178
COH,11/30/18,169.28,5358743,-8.3,-4.673949769,-4.673949769,169.28,-4.673949769,173,181.93,155.22,-4.673949769
COH,10/31/18,177.58,4857643,,,,177.58,,176.01,204.78,171,
CSL,10/29/20,291.5,531447,4.5,1.567944251,1.567940879,298.09177,58.55945213,291.04,293.89,291.5,55.05319149
CSL,09/30/20,287,19743883,0.99,0.346141743,0.869070725,293.49002,56.11171277,290.92,299.45,279,52.65957447
CSL,08/31/20,286.01,22147383,15.91,5.890410959,5.890406562,290.96136,54.76668085,289.2,317.99,268.68,52.13297872
CSL,07/31/20,270.1,20595810,-16.9,-5.888501742,-5.888491799,274.77594,46.15741489,271.5,297.99,267.53,43.67021277
CSL,06/30/20,287,26149178,10.78,3.902686265,3.902685911,291.96848,55.30238298,293.6,297.64,275.5,52.65957447
CSL,05/29/20,276.22,24331822,-33.22,-10.73552223,-10.73552582,281.00186,49.46907447,286.7,313.72,276.22,46.92553191
CSL,04/30/20,309.44,23088920,12.76,4.300930295,4.300930696,314.79697,67.44519681,314.51,332.68,297,64.59574468
CSL,03/31/20,296.68,43075630,-12.76,-4.123578077,-3.659277799,301.81607,60.54046277,314.2,325,242.67,57.80851064
CSL,02/28/20,309.44,19793746,-2.61,-0.836404422,-0.836392631,313.27985,66.63821809,307,342.75,305.87,64.59574468
CSL,01/31/20,312.05,16204364,36.29,13.1599942,13.15997827,315.9222,68.0437234,314,319,273.87,65.98404255
CSL,12/31/19,275.76,17430318,-7.72,-2.723296176,-2.723290117,279.18192,48.50102128,279.79,287.9,274.11,46.68085106
CSL,11/29/19,283.48,14757258,27.45,10.72139984,10.7214055,286.9977,52.65835106,285.39,287,256.56,50.78723404
CSL,10/31/19,256.03,15453393,22.34,9.559673071,9.559665828,259.20706,37.87609574,255.38,258.77,227.26,36.18617021
CSL,09/30/19,233.69,16049900,-7.18,-2.980861045,-2.375202536,236.58986,25.84567021,234,242.1,227.34,24.30319149
CSL,08/30/19,240.87,19425066,11.25,4.899399007,4.899398612,242.34607,28.90748404,238.35,240.87,215.24,28.12234043
CSL,07/31/19,229.62,14344714,14.62,6.8,6.799998743,231.02713,22.88677128,229.9,231.54,215.51,22.13829787
CSL,06/28/19,215,15960762,9.51,4.627962431,4.627958299,216.31754,15.06252128,215.69,220.6,200.37,14.36170213
CSL,05/31/19,205.49,16100742,6.92,3.484917158,3.484913698,206.74927,9.973015957,202.04,208.25,195.15,9.303191489
CSL,04/30/19,198.57,15986254,3.63,1.862111419,1.862119082,199.78687,6.269611702,198,203.76,189.14,5.622340426
CSL,03/29/19,194.94,19185014,1.18,0.609000826,1.225541908,196.13461,4.326920213,195,201.04,190.41,3.691489362
CSL,02/28/19,193.76,20123610,-0.96,-0.493015612,-0.493015612,193.76,3.063829787,188.03,196.8,184,3.063829787
CSL,01/31/19,194.72,15310369,9.56,5.163102182,5.163102182,194.72,3.574468085,195.95,199.83,184.51,3.574468085
CSL,12/31/18,185.16,17478520,7.76,4.374295378,4.374295378,185.16,-1.510638298,188,188.5,173.33,-1.510638298
CSL,11/30/18,177.4,22396557,-10.6,-5.638297872,-5.638297872,177.4,-5.638297872,182.48,194.5,173,-5.638297872
CSL,10/31/18,188,23470475,,,,188,,188,203.82,174.69,
CUV,10/29/20,21.41,2861966,-1.9,-8.151008151,-8.151009121,21.456964,34.106025,21.6,24.68,21.23,33.8125
CUV,09/30/20,23.31,3993622,2.52,12.12121212,12.25622395,23.361132,46.007075,24.25,24.63,19.53,45.6875
CUV,08/31/20,20.79,3096167,-1.25,-5.671506352,-5.671500925,20.810545,30.06590625,21,23.71,20.71,29.9375
CUV,07/31/20,22.04,2895455,-3.61,-14.07407407,-14.07406654,22.061779,37.88611875,22.2,27.08,21.48,37.75
CUV,06/30/20,25.65,3727981,1.43,5.904211396,5.904216024,25.675344,60.4709,25.36,27.94,21.5,60.3125
CUV,05/29/20,24.22,3116527,2.19,9.94098956,9.940970725,24.24393,51.5245625,22.5,24.48,20.84,51.375
CUV,04/30/20,22.03,4539247,2.92,15.27995814,15.27996695,22.05177,37.8235625,21.37,23.79,18,37.6875
CUV,03/31/20,19.11,9828097,1.34,7.5407991,7.540792554,19.128883,19.55551875,19.1,21.37,12.92,19.4375
CUV,02/28/20,17.77,4816832,-9.93,-35.84837545,-35.84837163,17.78756,11.17225,18.9,27.86,17.64,11.0625
CUV,01/31/20,27.7,4643850,-0.75,-2.636203866,-2.636206971,27.727371,73.29606875,27,29.85,26.92,73.125
CUV,12/31/19,28.45,4547747,0.35,1.245551601,1.245548527,28.478113,77.98820625,28.56,30.17,25.5,77.8125
CUV,11/29/19,28.1,4484554,-2.46,-8.04973822,-8.049732403,28.127768,75.79855,29.31,33.05,27.1,75.625
CUV,10/31/19,30.56,9656253,5.86,23.72469636,23.72469439,30.590197,91.18873125,31.03,45.88,24.12,91
CUV,09/30/19,24.7,5249181,-2.37,-8.755079424,-8.664916882,24.724407,54.52754375,24.7,27.9,23.355,54.375
CUV,08/30/19,27.07,5448298,-5.44,-16.73331283,-16.73331283,27.07,69.1875,26.49,32.93,24.5,69.1875
CUV,07/31/19,32.51,5332672,-1.17,-3.473871734,-3.473871734,32.51,103.1875,32.5,36.69,30.82,103.1875
CUV,06/28/19,33.68,5679543,-0.81,-2.348506814,-2.348506814,33.68,110.5,34.31,39.85,28,110.5
CUV,05/31/19,34.49,4640339,10.59,44.30962343,44.30962343,34.49,115.5625,33,35.16,23.05,115.5625
CUV,04/30/19,23.9,1875706,-0.59,-2.40914659,-2.40914659,23.9,49.375,23.85,27.25,21,49.375
CUV,03/29/19,24.49,3264290,-2.24,-8.380097269,-8.380097269,24.49,53.0625,25.2,29.99,22.24,53.0625
CUV,02/28/19,26.73,1809255,5.15,23.86468953,23.86468953,26.73,67.0625,25.81,27.25,21,67.0625
CUV,01/31/19,21.58,1053454,3.48,19.22651934,19.22651934,21.58,34.875,21.95,23,17.95,34.875
CUV,12/31/18,18.1,684363,1.1,6.470588235,6.470588235,18.1,13.125,17.85,18.8,15.75,13.125
CUV,11/30/18,17,847128,1,6.25,6.25,17,6.25,18.55,21.52,15.75,6.25
CUV,10/31/18,16,1717084,,,,16,,15.81,22.64,14.1,
EHE,10/29/20,1.35,207162,-0.105,-7.216494845,-7.216500858,1.4794521,-27.47783824,1.355,1.505,1.35,-33.82352941
EHE,09/30/20,1.455,11677184,-0.105,-6.730769231,-6.73076355,1.5945207,-21.83722059,1.485,1.575,1.34,-28.67647059
EHE,08/31/20,1.56,16786227,0.105,7.216494845,7.216488315,1.7095891,-16.19661275,1.53,1.61,1.4,-23.52941176
EHE,07/31/20,1.455,24471393,-0.0800001,-5.211732559,-5.211729696,1.5945207,-21.83722059,1.44,1.6949999,1.415,-28.67647059
EHE,06/30/20,1.5350001,56037130,0.0050001,0.326803922,0.326806195,1.682192,-17.53960784,1.52,1.75,1.39,-24.75489706
EHE,05/29/20,1.53,29664066,0.025,1.661129568,1.661131945,1.6767124,-17.80821569,1.58,1.625,1.37,-25
EHE,04/30/20,1.505,35589684,0.165,12.31343284,12.31343121,1.6493151,-19.15122059,1.495,1.65,1.22,-26.2254902
EHE,03/31/20,1.34,57746625,-0.5800001,-30.20833697,-30.20833799,1.4684932,-28.01503922,1.39,2.03,0.905,-34.31372549
EHE,02/28/20,1.9200001,16517805,-0.5499999,-22.26720243,-20.0809647,2.1041098,3.142637255,1.985,2.47,1.9070001,-5.882348039
EHE,01/31/20,2.47,9401210,0.03,1.229508197,1.229502366,2.6328018,29.05891176,2.45,2.62,2.4,21.07843137
EHE,12/31/19,2.44,15498174,-0.25,-9.293680297,-9.293676175,2.6008246,27.49140196,2.46,2.73,2.37,19.60784314
EHE,11/29/19,2.69,9044921,-0.12,-4.270462633,-4.270456218,2.8673024,40.55403922,2.71,2.93,2.69,31.8627451
EHE,10/31/19,2.81,16716086,0.25,9.765625,9.765620963,2.9952116,46.82409804,2.8,2.85,2.555,37.74509804
EHE,09/30/19,2.56,24887064,-0.13,-4.832713755,-1.955568209,2.7287338,33.76146078,2.57,2.72,2.45,25.49019608
EHE,08/30/19,2.69,23231652,-0.01,-0.37037037,-0.370366048,2.7831604,36.42943137,2.71,2.85,2.52,31.8627451
EHE,07/31/19,2.7,22689326,0.0600001,2.272731147,2.272730102,2.7935066,36.93659804,2.61,2.81,2.55,32.35294118
EHE,06/28/19,2.6399999,18696986,-0.0600001,-2.222225926,-2.222224927,2.7314286,33.89355882,2.65,2.82,2.54,29.4117598
EHE,05/31/19,2.7,19666152,-0.1899999,-6.574391231,-6.574391524,2.7935066,36.93659804,2.74,2.99,2.57,32.35294118
EHE,04/30/19,2.8899999,17664076,0.1999999,7.43494052,7.434936197,2.9900866,46.57287255,2.82,2.94,2.6100001,41.66666176
EHE,03/29/19,2.69,38758242,0.32,13.5021097,17.43292827,2.7831604,36.42943137,2.59,2.8600001,2.25,31.8627451
EHE,02/28/19,2.37,20682223,0.03,1.282051282,1.282051282,2.37,16.17647059,2.32,2.54,2.25,16.17647059
EHE,01/31/19,2.34,12676669,0.05,2.183406114,2.183406114,2.34,14.70588235,2.37,2.38,2.1,14.70588235
EHE,12/31/18,2.29,14436176,0.14,6.511627907,6.511627907,2.29,12.25490196,2.25,2.3600001,2.11,12.25490196
EHE,11/30/18,2.15,24616977,0.11,5.392156863,5.392156863,2.15,5.392156863,2.15,2.31,2.04,5.392156863
EHE,10/31/18,2.04,23706066,,,,2.04,,2.1,2.38,2.03,
FPH,10/29/20,34.53,682672,3.97,12.9908377,12.99083964,35.63292,184.380846,33.56,34.77,34.53,175.5786113
FPH,09/30/20,30.56,20322326,-2.98,-8.884913536,-8.884913822,31.536114,151.6848683,30.66,33.73,28.59,143.8946528
FPH,08/31/20,33.54,17122844,0.47,1.421227699,1.421227027,34.611298,176.2274381,34.15,34.6,31.05,167.6775738
FPH,07/31/20,33.07,17625455,0.23,0.700365408,1.223823319,34.126286,172.3566321,33.21,34.92,31.62,163.9265762
FPH,06/30/20,32.84,19892885,5.13,18.51317214,18.51317711,33.71369,169.063767,32.65,33.17,25.9,162.0909816
FPH,05/29/20,27.71,15674198,2.41,9.5256917,9.525684908,28.447208,127.0327853,27.5,29.11,25.74,121.1492418
FPH,04/30/20,25.3,20384092,-3.54,-12.27461859,-12.27461915,25.973093,107.2872546,25.99,29.98,25.3,101.915403
FPH,03/31/20,28.84,32748275,4.25,17.28344856,17.28344851,29.607273,136.2910854,30.11,31.47,21.07,130.1675978
FPH,02/28/20,24.59,9516037,2.26,10.12091357,10.12091304,25.244204,101.4701038,23.96,25.29,22.18,96.24900239
FPH,01/31/20,22.33,5779450,1.23,5.829383886,5.829386289,22.924078,82.95353551,22.02,22.48,20.45,78.2122905
FPH,12/31/19,21.1,7079625,0.17,0.812231247,1.481043392,21.661354,72.87592977,21.38,21.99,19.95,68.39584996
FPH,11/29/19,20.93,10172889,3.15,17.71653543,17.716538,21.345222,70.35292897,20.87,21.06,17.75,67.03910615
FPH,10/31/19,17.78,7327022,1.73,10.7788162,10.77882467,18.13273,44.71452514,17.79,18.16,15.67,41.89944134
FPH,09/30/19,16.05,6913023,0.48,3.082851638,3.082842015,16.368408,30.63374302,15.71,16.71,15.25,28.09257781
FPH,08/30/19,15.57,7415266,-0.2,-1.268230818,-1.268232537,15.878887,26.72695132,15.62,15.87,14,24.26177175
FPH,07/31/19,15.77,6376439,0.94,6.338503034,6.338500921,16.082855,28.35478851,16.08,16.19,14.63,25.85794094
FPH,06/28/19,14.83,7648457,0.36,2.487906012,3.559805911,15.124207,20.70396648,14.68,14.86,14.08,18.35594573
FPH,05/31/19,14.47,7984492,-0.51,-3.404539386,-3.404534873,14.6043215,16.55484038,14.5,15.83,14.17,15.48284118
FPH,04/30/19,14.98,5472543,0.06,0.402144772,0.402145021,15.119055,20.66284916,15,15.24,14.22,19.55307263
FPH,03/29/19,14.92,9675513,0.85,6.041222459,6.041227674,15.058498,20.17955307,14.86,15.22,13.9,19.07422187
FPH,02/28/19,14.07,6805368,2.09,17.4457429,17.44573557,14.200607,13.33285714,13.77,14.13,11.96,12.29050279
FPH,01/31/19,11.98,6395350,-0.38,-3.074433657,-3.074430284,12.091207,-3.501939346,11.98,13.39,11.61,-4.389465283
FPH,12/31/18,12.36,6340869,-0.11,-0.882117081,0.037963111,12.474734,-0.441069433,12.7,12.7,11.28,-1.356743815
FPH,11/30/18,12.47,6521248,-0.06,-0.478850758,-0.478850758,12.47,-0.478850758,12.41,13.15,11.83,-0.478850758
FPH,10/31/18,12.53,8041715,,,,12.53,,12.56,13.96,12.01,
HLS,10/29/20,3.49,2476545,-0.1,-2.78551532,-2.78550952,3.6180384,36.52975094,3.5,3.85,3.49,31.69811321
HLS,09/30/20,3.59,62338086,0.26,7.807807808,7.807809017,3.7217069,40.44176981,3.54,3.68,3.25,35.47169811
HLS,08/31/20,3.33,49131758,0.07,2.147239264,2.14723321,3.4521682,30.27049811,3.32,3.4,3.09,25.66037736
HLS,07/31/20,3.26,46175285,0.21,6.885245902,6.885245435,3.3796003,27.53208679,3.36,3.37,2.9850001,23.01886792
HLS,06/30/20,3.05,68924240,0.62,25.51440329,25.5143997,3.161896,19.31683019,3.15,3.25,2.4,15.09433962
HLS,05/29/20,2.43,30039016,-0.16,-6.177606178,-6.177597133,2.51915,-4.937735849,2.44,2.6,2.32,-8.301886792
HLS,04/30/20,2.59,56956914,0.52,25.12077295,25.12077211,2.6850197,1.321498113,2.52,2.6100001,1.925,-2.264150943
HLS,03/31/20,2.07,74242800,-0.97,-31.90789474,-31.15131912,2.1459424,-19.02104151,2.15,3.07,1.96,-21.88679245
HLS,02/28/20,3.04,46439098,0.08,2.702702703,2.702705998,3.1168969,17.61875094,3.02,3.26,2.75,14.71698113
HLS,01/31/20,2.96,23229035,0.2,7.246376812,7.246376812,3.0348732,14.52351698,2.92,2.96,2.715,11.69811321
HLS,12/31/19,2.76,26071637,-0.31,-10.09771987,-10.09771559,2.8298142,6.785441509,2.85,3.12,2.76,4.150943396
HLS,11/29/19,3.07,26883720,-0.01,-0.324675325,-0.324673762,3.1476555,18.77945283,3.15,3.23,2.9,15.8490566
HLS,10/31/19,3.08,19701280,-0.14,-4.347826087,-4.347835042,3.1579084,19.16635472,3.28,3.28,3.02,16.22641509
HLS,09/30/19,3.22,25972287,0.01,0.31152648,0.311527994,3.30145,24.58301887,3.21,3.315,3.1,21.50943396
HLS,08/30/19,3.21,61336650,0.28,9.556313993,10.72767514,3.291197,24.19611321,3.24,3.31,2.75,21.13207547
HLS,07/31/19,2.93,28729908,-0.09,-2.98013245,-2.98012991,2.9723346,12.16356981,2.93,3.14,2.87,10.56603774
HLS,06/28/19,3.02,26080156,-0.14,-4.430379747,-4.430379451,3.0636349,15.60886415,3.06,3.315,3,13.96226415
HLS,05/31/19,3.16,23467197,0.04,1.282051282,1.282056224,3.2056577,20.96821509,3.16,3.22,2.91,19.24528302
HLS,04/30/19,3.12,32203615,0.49,18.63117871,18.63116942,3.1650796,19.43696604,3.15,3.16,2.6100001,17.73584906
HLS,03/29/19,2.63,34413098,-0.15,-5.395683453,-4.028776978,2.668,0.679245283,2.68,2.9,2.6100001,-0.754716981
HLS,02/28/19,2.78,30859742,-0.13,-4.467353952,-4.467353952,2.78,4.905660377,2.8,2.98,2.67,4.905660377
HLS,01/31/19,2.91,44232780,0.68,30.49327354,30.49327354,2.91,9.811320755,2.94,2.94,2.24,9.811320755
HLS,12/31/18,2.23,30862098,-0.42,-15.8490566,-15.8490566,2.23,-15.8490566,2.32,2.72,2.19,-15.8490566
HLS,11/30/18,2.65,63031668,0,0,0,2.65,0,2.63,2.845,2.32,0
HLS,10/31/18,2.65,65977740,,,,2.65,,2.63,3.165,2.3899999,
MYX,10/29/20,0.305,3063954,-0.085,-21.79487179,-21.79487179,0.305,-72.76785714,0.305,0.4,0.305,-72.76785714
MYX,09/30/20,0.39,54243830,0.055,16.41791045,16.41791045,0.39,-65.17857143,0.39,0.4,0.32,-65.17857143
MYX,08/31/20,0.335,78437970,-0.06,-15.18987342,-15.18987342,0.335,-70.08928571,0.33,0.39,0.33,-70.08928571
MYX,07/31/20,0.395,94623330,0.01,2.597402597,2.597402597,0.395,-64.73214286,0.395,0.455,0.385,-64.73214286
MYX,06/30/20,0.385,247815800,-0.04,-9.411764706,-9.411764706,0.385,-65.625,0.38,0.477,0.33,-65.625
MYX,05/29/20,0.425,154768140,0.01,2.409638554,2.409638554,0.425,-62.05357143,0.455,0.475,0.38,-62.05357143
MYX,04/30/20,0.415,162658360,0.105,33.87096774,33.87096774,0.415,-62.94642857,0.4,0.435,0.29,-62.94642857
MYX,03/31/20,0.31,249696770,-0.015,-4.615384615,-4.615384615,0.31,-72.32142857,0.35,0.355,0.195,-72.32142857
MYX,02/28/20,0.325,111366195,-0.13,-28.57142857,-28.57142857,0.325,-70.98214286,0.33,0.46,0.307,-70.98214286
MYX,01/31/20,0.455,72419980,0.02,4.597701149,4.597701149,0.455,-59.375,0.46,0.485,0.43,-59.375
MYX,12/31/19,0.435,73129234,-0.03,-6.451612903,-6.451612903,0.435,-61.16071429,0.465,0.465,0.425,-61.16071429
MYX,11/29/19,0.465,116845030,-0.05,-9.708737864,-9.708737864,0.465,-58.48214286,0.45,0.585,0.44,-58.48214286
MYX,10/31/19,0.515,173721900,-0.005,-0.961538462,-0.961538462,0.515,-54.01785714,0.53,0.645,0.51,-54.01785714
MYX,09/30/19,0.52,110345010,0.075,16.85393258,16.85393258,0.52,-53.57142857,0.5,0.54,0.43,-53.57142857
MYX,08/30/19,0.445,108801266,-0.085,-16.03773585,-16.03773585,0.445,-60.26785714,0.465,0.53,0.44,-60.26785714
MYX,07/31/19,0.53,106203270,0.02,3.921568627,3.921568627,0.53,-52.67857143,0.52,0.555,0.475,-52.67857143
MYX,06/28/19,0.51,115104760,-0.045,-8.108108108,-8.108108108,0.51,-54.46428571,0.525,0.555,0.475,-54.46428571
MYX,05/31/19,0.555,195501270,-0.145,-20.71428571,-20.71428571,0.555,-50.44642857,0.56,0.74,0.55,-50.44642857
MYX,04/30/19,0.7,110871910,0.005,0.71942446,0.71942446,0.7,-37.5,0.68,0.705,0.63,-37.5
MYX,03/29/19,0.695,142783140,-0.005,-0.714285714,-0.714285714,0.695,-37.94642857,0.69,0.74,0.65,-37.94642857
MYX,02/28/19,0.7,123879200,-0.105,-13.04347826,-13.04347826,0.7,-37.5,0.695,0.85,0.69,-37.5
